Iteration	end_1	end_2	end_3	end_4	end_5	end_6	end_7	end_8	end_9	end_10	end_11	end_12	end_13	end_14	end_15	end_16	end_17	end_18	end_19	end_20	end_21	end_22	end_23	end_24	end_25	end_26	end_27	end_28	end_29	end_30	end_31	end_32	end_33	end_34	end_35	end_36	end_37	end_38	end_39	end_40	end_41	end_42	end_43	end_44	end_45	end_46	end_47	end_48	end_49	end_50	end_51	end_52	end_53	end_54	end_55	end_56	end_57	end_58	end_59	end_60	end_61	end_62	end_63	end_64	end_65	end_66	end_67	end_68	end_69	end_70	end_71	end_72	end_73
41000	0	9	9	0	9	0	17	17	8	17	8	17	17	17	17	17	8	4	3	14	13	13	13	13	4	14	14	5	14	14	14	14	5	14	5	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	14
42000	0	0	9	0	9	0	8	8	8	17	8	8	8	8	17	17	8	4	0	14	4	13	13	4	4	5	5	5	14	14	14	14	14	14	5	5	4	14	14	14	14	14	14	5	14	14	14	14	4	13	13	13	14	14	14	5	17	17	8	17	17	17	17	17	17	17	0	9	9	0	0	14	5
43000	0	9	0	9	0	0	17	8	8	17	17	8	8	17	17	17	8	4	6	14	13	13	4	4	13	5	14	5	14	5	14	5	5	5	5	5	4	14	14	14	5	14	14	5	14	14	14	4	4	13	13	13	13	13	13	13	8	17	8	17	8	8	17	8	17	17	0	9	9	9	9	11	14
44000	0	0	0	9	0	9	17	8	8	17	17	17	17	17	17	8	8	4	12	14	13	13	13	13	13	5	14	5	14	14	5	14	5	14	14	14	4	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	4	13	13	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	13
45000	0	9	0	0	9	9	17	17	17	8	8	17	17	17	17	8	8	13	3	5	13	13	13	13	4	14	5	14	5	14	14	14	14	14	14	5	4	14	14	14	14	14	14	5	14	14	14	14	13	13	13	4	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	14
46000	9	9	9	9	9	9	17	17	17	17	17	17	17	17	17	17	17	4	3	5	13	13	13	13	13	14	14	5	5	14	14	14	5	14	14	14	4	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	5	5	5	5	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	2
47000	0	9	0	0	9	9	17	8	17	8	8	8	8	8	8	8	8	13	3	14	13	13	13	4	13	14	14	14	14	14	14	5	5	14	5	14	13	14	14	14	14	14	14	14	14	14	14	14	4	13	13	4	5	5	5	5	8	8	8	8	8	8	8	8	8	8	0	0	0	0	0	5	5
48000	0	9	0	9	0	0	17	17	17	17	8	8	17	17	17	17	17	13	3	5	4	4	4	13	13	5	14	14	5	5	14	5	14	14	14	14	13	14	14	14	14	14	14	5	14	14	14	14	13	4	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	0	9	9	9	9	11	14
49000	9	9	9	9	9	9	17	17	17	17	17	17	17	17	17	17	17	4	3	5	13	13	13	13	13	14	14	14	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	5	5	5	5	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	5
50000	0	0	0	0	9	0	17	17	17	17	8	8	17	17	17	17	8	13	12	14	13	13	4	4	13	14	5	14	5	5	5	5	14	14	5	5	4	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	12	4	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	10	13
51000	9	0	0	9	0	0	17	17	17	17	8	17	8	17	17	8	8	13	3	14	4	13	13	13	4	14	5	5	5	5	14	14	5	14	5	5	4	14	5	5	14	5	5	5	5	14	14	14	4	13	13	4	5	5	14	5	8	8	8	8	17	17	8	8	8	8	0	9	9	9	9	8	5
52000	0	9	9	9	9	9	17	17	17	17	17	17	17	17	17	17	17	13	15	14	4	4	4	13	13	14	14	14	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	4	4	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	14
53000	9	9	9	9	9	9	17	17	17	17	17	17	17	17	17	17	17	4	3	5	13	13	13	13	13	14	14	14	14	14	14	5	14	5	14	14	13	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	16	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	16
54000	9	9	0	0	9	0	8	17	17	17	17	8	17	17	17	17	8	13	3	5	13	13	13	13	13	14	14	14	5	14	14	5	5	14	5	14	4	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	5	5	5	14	8	17	17	17	17	17	17	17	17	17	0	9	9	9	9	17	14
55000	0	9	0	0	0	9	17	17	8	8	17	17	17	8	8	8	8	4	3	14	13	4	13	13	13	14	14	5	5	5	5	5	14	5	14	14	13	14	14	5	5	5	14	14	14	14	14	14	4	13	13	4	14	14	14	11	8	8	17	8	17	17	8	8	17	17	9	0	0	0	0	11	2
56000	0	9	9	0	9	0	17	17	17	8	8	17	17	17	8	17	8	13	0	5	4	13	4	13	13	14	14	14	14	14	14	14	5	14	14	14	4	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	5	2	11	17	17	17	17	17	17	17	8	17	17	9	9	9	9	9	11	11
57000	0	9	9	9	9	9	8	17	17	17	17	17	17	17	17	17	17	13	6	5	4	4	4	4	4	14	14	14	14	14	14	5	14	14	5	14	4	5	14	14	14	14	14	14	14	14	14	14	4	4	4	4	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	14
58000	0	9	9	0	9	9	17	8	8	17	17	17	17	17	17	17	8	13	12	5	13	13	13	4	4	14	5	14	14	14	14	5	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	4	13	13	13	5	5	5	5	17	17	17	17	17	17	17	17	8	8	9	9	9	9	9	2	5
59000	9	9	9	9	9	9	8	8	17	17	17	17	17	17	17	17	17	4	3	5	4	4	4	4	4	14	14	14	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	4	4	4	4	14	14	14	5	17	17	17	17	17	17	17	8	17	17	9	9	9	9	9	11	5
60000	0	9	9	9	9	9	17	8	17	8	8	17	8	8	17	8	8	4	12	5	13	13	13	13	4	5	5	5	14	14	5	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	4	13	13	13	14	14	14	5	8	8	8	8	17	8	8	17	17	17	9	9	9	9	9	8	8
61000	0	0	9	0	0	9	8	17	8	17	17	8	8	8	8	17	17	13	12	14	13	13	13	13	4	5	14	14	14	5	5	5	5	14	5	5	13	5	5	5	5	5	14	5	5	5	5	5	4	13	13	4	5	5	5	5	17	8	8	8	8	8	8	8	8	8	0	0	0	0	0	5	5
62000	9	9	0	9	9	0	17	17	8	17	17	17	8	8	8	8	17	4	3	14	13	4	13	13	13	5	5	5	5	14	14	14	14	14	5	14	13	14	14	14	14	14	5	5	14	14	14	14	13	13	13	13	5	5	5	14	8	8	8	8	17	17	8	17	17	17	9	9	9	9	9	17	17
63000	9	0	9	0	0	0	17	8	17	17	8	17	8	17	8	8	8	13	3	14	13	13	13	4	4	14	14	5	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	5	14	14	14	14	13	13	13	4	14	14	5	14	8	8	8	8	17	17	8	17	17	17	9	0	0	0	0	11	14
64000	9	9	9	9	9	9	17	17	17	17	17	17	17	17	17	17	17	13	12	5	13	13	13	13	4	5	14	14	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	14	14
65000	0	0	9	9	9	0	8	8	8	17	17	8	17	17	8	17	17	4	12	5	13	13	13	13	4	5	5	14	14	14	14	5	5	14	14	14	4	14	14	14	14	14	14	5	14	14	14	14	4	13	13	4	14	14	14	14	17	8	17	8	8	8	8	17	17	17	9	9	9	9	9	9	14
66000	9	9	9	9	9	9	17	17	17	17	17	17	17	17	17	17	17	4	3	14	13	13	13	4	4	5	5	14	14	14	14	14	14	5	5	14	13	14	14	14	14	14	14	5	14	14	14	14	4	13	13	4	5	5	5	5	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	5
67000	9	9	0	9	9	0	8	8	17	8	17	17	17	8	8	8	8	13	3	14	13	13	13	4	13	5	5	14	14	14	5	14	5	5	14	14	4	14	14	14	5	14	14	5	14	14	14	14	4	13	13	13	14	14	14	5	8	8	8	8	17	17	8	17	8	8	9	0	0	9	9	14	14
68000	9	0	9	9	9	9	17	17	17	17	17	8	17	17	17	17	17	4	3	14	13	13	13	13	4	14	14	14	14	14	14	5	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	14
69000	0	0	0	9	9	9	17	17	17	8	17	17	17	17	17	8	17	13	3	14	4	4	4	4	4	5	5	5	14	14	14	5	5	5	5	14	13	5	5	5	14	5	5	5	5	5	5	14	13	4	4	4	5	5	5	5	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	5
70000	9	0	9	9	0	9	17	17	17	8	17	17	17	17	17	8	8	13	3	5	13	4	4	4	4	5	5	5	5	5	5	5	5	5	14	5	4	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	14	8	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	14
71000	9	9	9	9	0	0	17	17	8	8	8	8	17	8	8	8	8	13	3	5	4	4	4	13	13	5	5	5	5	5	5	5	14	14	5	14	13	5	14	5	5	5	5	5	5	5	5	5	13	4	4	4	5	5	5	14	8	8	8	8	8	8	8	17	8	8	9	9	9	9	9	2	14
72000	9	9	9	9	9	9	17	17	17	17	8	17	17	17	17	8	8	13	3	5	13	13	4	4	13	14	5	14	5	14	14	14	14	14	14	5	13	14	14	14	14	14	14	14	14	14	14	13	4	13	4	13	13	13	13	4	8	17	17	17	17	17	17	17	17	17	9	9	9	9	9	16	13
73000	9	9	9	9	9	9	8	8	8	17	17	17	8	8	17	17	17	4	12	5	13	13	13	4	4	14	14	14	14	14	14	5	14	5	14	5	13	14	14	14	14	14	14	14	14	14	14	14	4	13	13	13	14	14	14	14	17	17	8	17	17	17	17	8	17	17	9	9	9	9	9	17	14
74000	9	9	9	9	9	9	17	17	8	17	17	17	17	17	17	17	8	13	3	5	13	13	13	13	13	14	14	14	5	14	14	14	5	14	5	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	8	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	14
75000	9	0	0	9	9	9	17	17	17	17	17	17	17	8	17	8	8	13	12	5	13	13	4	13	4	5	5	5	14	5	5	5	5	14	5	14	4	14	14	14	5	14	14	5	14	14	14	14	13	13	13	14	14	14	14	14	8	17	8	17	17	17	17	8	17	17	0	0	0	0	0	11	14
76000	9	9	0	9	9	9	17	8	8	17	8	17	17	8	8	8	17	4	3	14	13	13	13	13	4	5	5	14	5	14	14	14	5	5	14	14	13	14	5	14	14	14	14	5	14	14	14	14	13	13	13	4	5	5	5	14	17	17	17	17	8	8	17	17	17	17	0	0	0	0	0	8	14
77000	0	9	9	9	9	9	17	17	17	17	17	17	17	17	8	17	17	4	3	5	13	13	13	4	4	14	14	14	14	14	14	14	14	14	14	14	4	14	14	14	14	14	14	14	14	14	14	14	4	13	13	4	5	5	5	5	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	5
78000	0	0	9	0	0	0	8	17	8	8	8	8	8	8	17	8	8	13	0	5	4	4	4	13	13	14	14	14	14	14	14	14	14	5	14	14	4	14	14	14	14	14	14	14	14	14	14	14	13	4	4	13	5	5	2	2	8	8	8	8	8	8	8	8	8	8	0	9	9	0	0	2	2
79000	0	9	9	9	9	0	8	8	8	17	8	17	17	17	8	17	17	13	3	5	4	4	13	13	4	5	14	5	14	14	14	14	5	5	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	4	4	13	14	14	14	5	17	17	17	17	17	17	17	8	17	17	9	9	9	9	0	8	5
80000	9	9	9	9	0	9	17	17	8	8	17	17	17	8	17	17	8	13	3	5	13	13	4	13	4	5	14	5	5	14	5	5	5	5	5	5	13	14	14	14	14	14	14	14	14	14	14	14	13	13	4	13	5	5	5	14	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	11	14
81000	0	0	0	0	0	0	8	8	8	8	8	8	8	17	8	8	8	13	3	5	4	4	4	4	4	5	14	5	14	5	5	5	5	14	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	8	8	8	8	8	8	8	8	8	8	0	0	0	0	0	8	5
82000	0	9	9	9	9	0	17	17	17	8	8	8	17	17	17	17	17	13	12	5	13	4	4	13	13	14	14	14	14	5	14	14	14	5	5	5	4	14	14	14	14	14	14	14	14	14	14	13	13	4	4	13	13	13	13	4	17	17	17	17	8	17	17	17	17	17	9	9	9	9	9	14	13
83000	0	0	0	9	9	9	17	17	8	8	8	17	8	17	8	17	17	4	3	5	13	4	13	13	13	5	14	14	14	14	14	5	5	5	5	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	14	14	14	14	17	17	17	17	8	17	17	17	17	17	9	9	9	9	9	17	14
84000	9	0	9	9	9	9	8	8	17	17	17	17	17	17	17	17	17	4	3	5	13	13	13	13	13	14	14	14	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	5	5	5	5	17	17	17	17	17	17	17	17	17	17	9	9	9	9	9	17	5
